lead_id,company_name,company_type,region,product_interest,inquiry_channel,company_size,order_quantity_est,response_time_hrs,quotation_shared,catalog_requested,followups,conversion_status
TM1032,Duncan Group,Online Seller,East,Water Storage,Reference,Medium,182,46,Yes,Yes,5,0
TM1033,"Mcdaniel, Wong and Stanton",Distributor,Central,Both,Exhibition,Large,44,10,Yes,Yes,3,0
TM1034,"Ramos, Santos and Rice",Distributor,North,Both,Website,Small,233,65,No,No,0,1
TM1035,"Whitehead, Brown and Ford",Hotel Chain,West,Kitchenware,Exhibition,Large,574,53,Yes,Yes,4,1
TM1036,"Lawrence, Riley and Rhodes",Online Seller,North,Both,Reference,Small,119,13,Yes,Yes,1,1
TM1037,Cox-Jones,Online Seller,East,Water Storage,Reference,Small,392,52,No,Yes,5,0
TM1038,Johns-Contreras,Retailer,North,Kitchenware,Reference,Medium,396,71,No,Yes,5,0
TM1039,"Murray, Conley and Martin",Distributor,North,Water Storage,Reference,Large,813,43,Yes,Yes,1,0
TM1040,"Walsh, Marshall and Mendez",Hotel Chain,East,Kitchenware,Exhibition,Large,957,36,Yes,Yes,2,0
TM1041,Olson and Sons,Distributor,Central,Kitchenware,Reference,Small,316,21,Yes,No,5,1
TM1042,Dunlap-Mclaughlin,Online Seller,West,Both,Website,Large,751,11,No,Yes,0,0
TM1043,Jackson PLC,Retailer,East,Both,Dealer,Large,416,42,Yes,No,3,0
TM1044,Morris-Meza,Online Seller,Central,Water Storage,Reference,Small,706,49,Yes,No,1,1
TM1045,"Fernandez, Ruiz and Marshall",Retailer,East,Kitchenware,Reference,Large,812,20,No,No,2,0
TM1046,Burns Ltd,Retailer,East,Water Storage,WhatsApp,Medium,114,17,Yes,Yes,3,0
TM1047,Mcdowell LLC,Hotel Chain,North,Kitchenware,Exhibition,Medium,577,12,No,No,0,0
TM1048,"Carter, Sanders and Hayes",Hotel Chain,North,Both,Dealer,Small,595,67,Yes,No,1,0
TM1049,Vasquez-Mcfarland,Online Seller,East,Water Storage,Website,Small,181,56,No,No,2,0
TM1050,"Hill, Sherman and Booth",Retailer,East,Water Storage,Website,Large,650,64,Yes,No,0,0
TM1051,"Morse, Perez and Rivera",Retailer,West,Water Storage,Dealer,Medium,833,43,No,No,3,1
TM1052,Perry Inc,Distributor,East,Water Storage,Dealer,Large,215,62,No,Yes,3,1
TM1053,Kirk LLC,Online Seller,West,Both,Website,Medium,395,36,No,No,0,1
TM1054,"Heath, Bishop and Henderson",Distributor,Central,Both,Website,Large,796,71,Yes,No,5,0
TM1055,Hansen-Bush,Online Seller,North,Water Storage,Reference,Small,658,39,Yes,No,5,0
TM1056,Blankenship PLC,Hotel Chain,West,Kitchenware,Reference,Large,500,52,No,Yes,2,1
TM1057,Mcmillan-Poole,Retailer,North,Kitchenware,WhatsApp,Small,672,6,No,No,3,0
TM1058,"Jackson, Chen and Hill",Retailer,East,Kitchenware,Dealer,Large,541,72,Yes,No,2,0
TM1059,Wheeler Ltd,Distributor,East,Kitchenware,Reference,Small,312,54,Yes,Yes,5,0
TM1060,Bradshaw-Rowe,Online Seller,East,Water Storage,Website,Large,504,45,No,Yes,3,1
TM1061,Wall-Bell,Hotel Chain,East,Kitchenware,WhatsApp,Small,839,15,Yes,No,5,0
TM1062,Nichols Group,Distributor,South,Both,Website,Large,173,43,No,No,1,1
TM1063,Bautista LLC,Distributor,South,Both,Reference,Medium,39,26,No,No,3,0
TM1064,Blair-Davis,Distributor,South,Water Storage,Exhibition,Large,114,69,Yes,No,2,0
TM1065,"Taylor, Greene and Hanson",Retailer,East,Both,Reference,Large,999,41,No,No,4,0
TM1066,"Silva, Jones and Fisher",Online Seller,West,Both,Website,Large,732,39,Yes,Yes,2,0
TM1067,Fox Group,Online Seller,North,Kitchenware,WhatsApp,Large,154,66,No,No,4,0
TM1068,Fisher-Thompson,Hotel Chain,West,Kitchenware,Reference,Large,560,23,Yes,No,2,0
TM1069,Kerr Group,Online Seller,West,Both,Exhibition,Medium,984,2,No,Yes,1,1
TM1070,Smith-Jensen,Hotel Chain,West,Both,Reference,Medium,737,57,No,Yes,0,0
TM1071,Patel and Sons,Distributor,East,Kitchenware,WhatsApp,Small,560,37,Yes,No,4,1
TM1072,Miranda-Wilson,Hotel Chain,Central,Both,Exhibition,Large,126,35,No,Yes,5,0
TM1073,Noble LLC,Distributor,West,Kitchenware,Website,Medium,905,5,No,No,2,1
TM1074,Wood and Sons,Retailer,West,Kitchenware,Website,Small,840,45,No,Yes,4,0
TM1075,"Best, Lee and Simpson",Distributor,South,Kitchenware,Dealer,Medium,555,36,Yes,No,5,0
TM1076,Weaver-Torres,Online Seller,Central,Both,Exhibition,Small,995,53,Yes,No,5,0
TM1077,"Smith, Cabrera and Briggs",Distributor,South,Kitchenware,WhatsApp,Small,789,51,No,Yes,4,1
TM1078,Brown PLC,Hotel Chain,West,Water Storage,Exhibition,Large,823,12,No,No,5,1
TM1079,Richardson-Brown,Online Seller,West,Water Storage,WhatsApp,Large,12,12,No,No,0,1
TM1080,Carpenter-Rojas,Hotel Chain,South,Water Storage,Website,Medium,284,42,No,No,4,0
TM1081,Wood-Campbell,Hotel Chain,East,Both,Exhibition,Small,111,59,Yes,Yes,1,0
TM1082,Barker-Mitchell,Retailer,West,Kitchenware,Website,Large,319,21,No,Yes,5,0
TM1083,Martinez LLC,Retailer,East,Both,Website,Small,415,40,Yes,No,5,0
TM1084,Griffin-Campbell,Retailer,North,Kitchenware,Reference,Small,145,29,No,Yes,0,1
TM1085,"Walker, Duke and Lee",Retailer,West,Both,Website,Medium,82,30,No,Yes,5,1
TM1086,"Robinson, Zimmerman and Gallegos",Retailer,East,Water Storage,WhatsApp,Small,401,18,Yes,Yes,4,0
TM1087,Cox Ltd,Distributor,West,Water Storage,Website,Large,776,20,No,No,1,0
TM1088,Jones PLC,Retailer,South,Kitchenware,Dealer,Large,403,45,No,No,1,0
TM1089,"Mitchell, Perez and Flores",Retailer,South,Both,Dealer,Large,748,37,Yes,No,1,0
TM1090,"Simmons, Logan and Lambert",Distributor,West,Water Storage,Exhibition,Small,516,50,Yes,Yes,3,1
TM1091,"Allison, Jimenez and Alexander",Retailer,Central,Kitchenware,WhatsApp,Medium,145,50,No,No,4,1
TM1092,Ellis Inc,Hotel Chain,North,Kitchenware,Dealer,Small,24,34,Yes,Yes,0,1
TM1093,"Buckley, Villanueva and Horn",Hotel Chain,Central,Water Storage,Dealer,Medium,443,52,Yes,Yes,2,0
TM1094,Harrison Group,Retailer,Central,Kitchenware,Website,Large,344,51,Yes,No,5,0
TM1095,Washington Group,Distributor,North,Kitchenware,Exhibition,Medium,128,59,Yes,No,5,1
TM1096,"Becker, Wright and Mitchell",Distributor,North,Kitchenware,Website,Large,21,21,No,No,4,0
TM1097,Salas-Leach,Online Seller,South,Water Storage,Website,Large,809,35,Yes,Yes,2,1
TM1098,"Smith, Baldwin and Roberts",Online Seller,Central,Kitchenware,WhatsApp,Large,600,10,No,No,4,0
TM1099,"Campbell, Clarke and Ortiz",Hotel Chain,Central,Kitchenware,WhatsApp,Small,271,14,Yes,Yes,5,0
TM1100,Hall and Sons,Retailer,North,Kitchenware,Exhibition,Medium,382,50,Yes,Yes,0,0
TM1101,Hodges and Sons,Hotel Chain,South,Water Storage,Website,Medium,947,41,No,Yes,4,0
TM1102,Best Ltd,Retailer,South,Kitchenware,Dealer,Small,986,52,Yes,No,2,1
TM1103,Baker LLC,Online Seller,East,Kitchenware,Dealer,Medium,18,48,Yes,No,4,1
TM1104,"Mcgee, Lopez and Hall",Distributor,West,Water Storage,Dealer,Medium,801,26,Yes,Yes,0,1
TM1105,"Tanner, Curry and Park",Retailer,South,Both,WhatsApp,Large,869,2,No,Yes,5,0
TM1106,"Lewis, Graham and Swanson",Online Seller,North,Kitchenware,Dealer,Small,439,63,Yes,Yes,5,0
TM1107,"Wallace, Jackson and Thompson",Retailer,South,Both,Reference,Large,927,48,No,Yes,4,0
TM1108,"Smith, Lee and Mendoza",Distributor,West,Kitchenware,Dealer,Large,73,56,Yes,Yes,2,0
TM1109,"Robinson, Lin and Brooks",Online Seller,West,Both,WhatsApp,Medium,473,35,Yes,Yes,1,0
TM1110,Martinez Inc,Retailer,South,Kitchenware,Website,Medium,487,41,No,Yes,4,0
TM1111,"Espinoza, Bailey and Mccarthy",Distributor,West,Water Storage,Reference,Medium,882,16,Yes,Yes,5,0
TM1112,"Mitchell, Mccall and Gray",Retailer,South,Water Storage,Website,Small,738,32,No,No,4,0
TM1113,Taylor-Gonzales,Online Seller,East,Kitchenware,Exhibition,Medium,885,58,Yes,Yes,3,0
TM1114,Johnson-Lopez,Distributor,North,Kitchenware,Exhibition,Small,143,26,No,No,5,1
TM1115,Jones and Sons,Retailer,Central,Both,WhatsApp,Small,32,9,Yes,No,1,0
TM1116,"Erickson, Smith and Wood",Online Seller,North,Kitchenware,Reference,Small,182,56,No,No,0,0
TM1117,"Gomez, Nelson and Williams",Hotel Chain,South,Water Storage,Website,Small,291,36,No,Yes,0,1
TM1118,Miller Ltd,Distributor,East,Water Storage,Reference,Large,500,8,Yes,No,3,0
TM1119,Greer PLC,Distributor,Central,Kitchenware,Dealer,Small,401,46,No,No,2,1
TM1120,"Golden, Rogers and White",Online Seller,West,Water Storage,Website,Small,336,29,Yes,No,0,1
TM1121,Roberts PLC,Hotel Chain,Central,Water Storage,Dealer,Small,173,13,Yes,Yes,2,0
TM1122,Bowers-Lewis,Retailer,South,Both,Reference,Medium,967,23,Yes,Yes,4,0
TM1123,"Collier, Spencer and Jones",Online Seller,Central,Kitchenware,WhatsApp,Large,587,19,Yes,No,4,0
TM1124,Watkins-Johnson,Hotel Chain,North,Kitchenware,Exhibition,Small,626,29,Yes,No,0,0
TM1125,Williams-Aguilar,Distributor,South,Water Storage,Website,Medium,70,3,Yes,Yes,0,1
TM1126,Black-Hunter,Online Seller,North,Water Storage,Reference,Large,113,44,No,No,1,1
TM1127,"Klein, Alvarez and Page",Hotel Chain,West,Both,WhatsApp,Small,734,72,No,Yes,5,0
TM1128,"Peterson, Wheeler and Hendrix",Distributor,West,Water Storage,WhatsApp,Small,191,1,No,Yes,1,1
TM1129,"Young, Perry and Lawrence",Distributor,Central,Kitchenware,Reference,Small,349,10,Yes,No,2,0
TM1130,"Moyer, Dixon and Marshall",Retailer,East,Water Storage,Exhibition,Medium,224,32,Yes,No,2,1
TM1131,Davenport Group,Retailer,North,Water Storage,Reference,Large,439,22,No,No,3,0
TM1132,"Chambers, Ballard and Griffin",Hotel Chain,North,Water Storage,Dealer,Large,786,29,Yes,No,0,1
TM1133,Dunn PLC,Retailer,East,Kitchenware,WhatsApp,Medium,984,14,Yes,No,1,1
TM1134,"York, Thompson and Roberts",Distributor,North,Both,Exhibition,Medium,618,62,Yes,No,5,0
TM1135,Yates-Gaines,Hotel Chain,South,Kitchenware,Exhibition,Medium,220,25,No,No,5,0
TM1136,Sullivan-Warren,Distributor,North,Kitchenware,Reference,Large,572,63,Yes,Yes,2,0
TM1137,Sutton-White,Retailer,East,Both,Dealer,Medium,214,13,Yes,Yes,1,1
TM1138,Clark-Harris,Retailer,West,Kitchenware,WhatsApp,Medium,492,63,No,Yes,5,0
TM1139,Ayers LLC,Distributor,East,Water Storage,WhatsApp,Small,466,6,No,No,3,0
TM1140,"Martin, Haley and Davis",Online Seller,Central,Kitchenware,Website,Large,693,13,Yes,No,4,0
TM1141,Harrison-Carrillo,Distributor,Central,Kitchenware,Reference,Large,438,69,No,Yes,3,0
TM1142,"Morrison, Waters and Johnson",Hotel Chain,North,Both,Dealer,Large,829,19,Yes,No,1,1
TM1143,King-Black,Distributor,South,Kitchenware,Website,Small,443,11,No,Yes,5,0
TM1144,"Ortiz, Reese and Wilson",Online Seller,East,Both,Exhibition,Small,407,72,No,No,2,0
TM1145,Williams-Miller,Retailer,Central,Both,Dealer,Medium,125,54,Yes,Yes,4,0
TM1146,Chang LLC,Retailer,North,Both,Exhibition,Medium,898,69,No,No,2,0
TM1147,"Garcia, Mcguire and Williams",Hotel Chain,Central,Both,Reference,Small,186,36,No,Yes,4,1
TM1148,"Castro, Mcdonald and Gonzales",Hotel Chain,North,Water Storage,WhatsApp,Large,253,7,No,No,2,0
TM1149,Richard-Hill,Online Seller,East,Water Storage,Reference,Large,711,13,Yes,Yes,2,1
TM1150,"Montoya, Johnson and Chandler",Hotel Chain,East,Water Storage,Reference,Large,671,12,Yes,No,1,1
TM1151,Bennett Group,Hotel Chain,West,Both,WhatsApp,Small,537,21,Yes,No,5,0
TM1152,"Mitchell, Lowe and Juarez",Distributor,Central,Both,Exhibition,Small,207,26,Yes,Yes,0,0
TM1153,"Lewis, Duncan and Pacheco",Online Seller,South,Water Storage,WhatsApp,Medium,527,51,Yes,Yes,1,0
TM1154,"White, Miller and Ritter",Hotel Chain,South,Water Storage,Dealer,Large,368,45,Yes,No,5,1
TM1155,"Ortega, Williams and Jenkins",Retailer,East,Kitchenware,Reference,Small,176,28,Yes,Yes,5,0
TM1156,"Juarez, Gonzalez and Sullivan",Hotel Chain,Central,Kitchenware,Exhibition,Medium,943,17,Yes,Yes,1,0
TM1157,Schwartz Ltd,Online Seller,East,Water Storage,Reference,Medium,480,33,Yes,No,2,1
TM1158,Harris-Santiago,Hotel Chain,Central,Kitchenware,Exhibition,Large,688,48,No,No,5,0
TM1159,Yang Group,Retailer,East,Water Storage,WhatsApp,Medium,277,39,Yes,Yes,4,1
TM1160,"Barton, Arnold and Rodriguez",Retailer,Central,Water Storage,WhatsApp,Large,153,4,No,No,2,1
TM1161,Reed-Thomas,Hotel Chain,West,Both,Exhibition,Large,735,25,No,Yes,5,0
TM1162,Davis-Flynn,Hotel Chain,East,Both,WhatsApp,Small,870,72,Yes,No,0,0
TM1163,"Robinson, Petersen and Rodriguez",Online Seller,Central,Kitchenware,WhatsApp,Large,101,29,No,Yes,5,1
TM1164,Maldonado-Reynolds,Hotel Chain,East,Water Storage,WhatsApp,Large,311,60,Yes,No,0,1
TM1165,"Wallace, Fuller and Bryan",Retailer,West,Kitchenware,Dealer,Small,898,49,No,No,0,1
TM1166,Greer Inc,Distributor,South,Kitchenware,WhatsApp,Medium,593,59,Yes,No,5,0
TM1167,"Lewis, Moore and Vazquez",Retailer,West,Water Storage,Website,Medium,659,8,Yes,No,2,0
TM1168,"Rodriguez, Sanchez and Wright",Distributor,Central,Kitchenware,Reference,Small,142,56,No,No,3,1
TM1169,Coleman Ltd,Hotel Chain,North,Kitchenware,Dealer,Small,758,48,Yes,No,4,0
TM1170,"Mcdonald, Pope and Long",Retailer,South,Kitchenware,WhatsApp,Medium,142,14,No,No,1,0
TM1171,Carpenter-Garcia,Retailer,East,Water Storage,Reference,Large,542,68,No,No,5,1
TM1172,"Rodgers, Vasquez and Phillips",Online Seller,West,Water Storage,Website,Small,980,52,Yes,Yes,1,1
TM1173,"Evans, Berry and Gonzalez",Distributor,South,Both,Exhibition,Large,526,22,Yes,No,5,1
TM1174,Pena Inc,Retailer,West,Both,WhatsApp,Large,648,7,Yes,Yes,5,1
TM1175,Freeman and Sons,Retailer,North,Water Storage,Reference,Medium,136,71,No,No,5,0
TM1176,"Chambers, Harrell and Morton",Retailer,East,Water Storage,Exhibition,Large,542,35,Yes,No,0,0
TM1177,Wood-Adams,Retailer,East,Kitchenware,Exhibition,Medium,213,26,No,Yes,2,1
TM1178,Walker-Smith,Online Seller,South,Kitchenware,Dealer,Medium,942,27,No,No,1,0
TM1179,Sheppard-Garcia,Retailer,North,Both,Reference,Small,982,12,Yes,Yes,2,1
TM1180,Henson Ltd,Hotel Chain,East,Water Storage,Reference,Small,112,23,Yes,No,2,1
TM1181,Santana-Short,Online Seller,West,Both,Exhibition,Small,881,6,Yes,Yes,5,1
TM1182,Patterson and Sons,Online Seller,East,Water Storage,Dealer,Medium,909,12,No,No,1,0
TM1183,Fuentes PLC,Hotel Chain,West,Water Storage,Reference,Large,881,62,No,Yes,0,0
TM1184,Peck-Odom,Retailer,South,Kitchenware,Reference,Large,504,57,Yes,No,2,1
TM1185,Jones-Mann,Distributor,West,Water Storage,Exhibition,Medium,461,6,Yes,No,5,0
TM1186,Pope-Mitchell,Distributor,East,Both,Dealer,Large,727,13,No,Yes,3,0
TM1187,White Inc,Hotel Chain,South,Both,Dealer,Small,21,21,No,No,1,0
TM1188,Singleton and Sons,Hotel Chain,East,Kitchenware,WhatsApp,Medium,61,65,Yes,No,3,1
TM1189,Harris Inc,Retailer,West,Water Storage,Dealer,Medium,100,64,No,No,0,1
TM1190,Hayes-Rodriguez,Retailer,North,Water Storage,Reference,Small,580,71,Yes,Yes,4,1
TM1191,Smith-Singh,Online Seller,Central,Both,Website,Large,697,59,No,No,0,1
TM1192,Brown PLC,Hotel Chain,East,Both,Dealer,Large,494,47,No,Yes,0,1
TM1193,Ramirez Inc,Distributor,North,Water Storage,WhatsApp,Large,997,38,No,Yes,0,1
TM1194,Williams PLC,Hotel Chain,South,Both,Reference,Small,270,26,Yes,Yes,3,0
TM1195,"Mooney, Rangel and Bailey",Distributor,East,Kitchenware,Reference,Small,958,16,No,No,5,0
TM1196,Stanton-Holland,Distributor,West,Kitchenware,Dealer,Large,59,71,No,No,4,1
TM1197,Perry Group,Distributor,Central,Kitchenware,Website,Small,406,42,No,No,4,1
TM1198,Swanson Group,Distributor,East,Water Storage,WhatsApp,Medium,473,18,Yes,No,4,1
TM1199,"Lester, Davenport and Stafford",Online Seller,Central,Water Storage,Dealer,Large,232,26,Yes,No,5,0
TM1200,Brooks Inc,Distributor,South,Both,Dealer,Large,662,42,Yes,No,4,0
TM1201,"Campbell, Tate and Horton",Hotel Chain,Central,Water Storage,Reference,Small,545,14,Yes,No,1,0
TM1202,Smith Ltd,Retailer,South,Water Storage,Website,Medium,709,33,Yes,Yes,5,1
TM1203,Soto-Morris,Distributor,Central,Kitchenware,WhatsApp,Medium,114,72,Yes,No,1,0
TM1204,"Petersen, Curtis and Johnson",Online Seller,North,Water Storage,Reference,Medium,989,41,Yes,Yes,5,0
TM1205,"Martin, Johnson and Hamilton",Hotel Chain,South,Both,WhatsApp,Large,569,26,Yes,No,3,0
TM1206,"Galvan, Hurley and Castaneda",Retailer,South,Kitchenware,Dealer,Small,396,6,No,No,4,0
TM1207,"Le, Yang and Bautista",Distributor,Central,Water Storage,Exhibition,Medium,487,20,Yes,Yes,2,0
TM1208,"Anderson, Burke and Arnold",Online Seller,West,Both,Dealer,Medium,84,41,Yes,Yes,4,0
TM1209,Calderon PLC,Distributor,West,Both,Dealer,Medium,104,45,Yes,Yes,5,0
TM1210,"Smith, Mccormick and Colon",Online Seller,East,Kitchenware,Dealer,Large,496,72,Yes,Yes,5,0
TM1211,Marshall and Sons,Distributor,Central,Both,Website,Small,708,42,No,Yes,3,0
TM1212,"Tucker, Nichols and Lee",Online Seller,North,Both,WhatsApp,Large,832,66,No,No,0,0
TM1213,House-Pope,Distributor,East,Both,Exhibition,Small,181,69,Yes,Yes,1,1
TM1214,Carroll LLC,Distributor,West,Kitchenware,Website,Large,858,56,Yes,Yes,0,0
TM1215,Martinez-Williams,Online Seller,North,Kitchenware,Exhibition,Small,192,33,Yes,Yes,2,0
TM1216,Medina-Mitchell,Hotel Chain,West,Water Storage,WhatsApp,Small,408,16,Yes,Yes,5,0
TM1217,"Coleman, Nixon and Yates",Retailer,East,Both,Exhibition,Medium,815,39,Yes,No,3,0
TM1218,"Murillo, Parker and White",Retailer,West,Kitchenware,Dealer,Small,149,51,No,Yes,2,1
TM1219,Holmes-Hendrix,Online Seller,North,Both,Dealer,Small,136,6,Yes,No,4,0
TM1220,"Thompson, Moore and Porter",Retailer,East,Kitchenware,WhatsApp,Small,432,66,Yes,Yes,1,0
TM1221,Klein PLC,Online Seller,South,Kitchenware,Website,Large,828,7,No,Yes,2,1
TM1222,"Lee, Lee and Wilcox",Online Seller,North,Kitchenware,Dealer,Medium,984,43,No,Yes,5,1
TM1223,Hall-Boone,Retailer,East,Both,Exhibition,Small,335,63,No,No,4,1
TM1224,Simmons Group,Distributor,Central,Both,WhatsApp,Medium,991,55,Yes,Yes,2,0
TM1225,"Herrera, Miller and Figueroa",Distributor,West,Water Storage,WhatsApp,Small,705,43,No,No,3,0
TM1226,"Wilson, Cisneros and Woods",Online Seller,West,Both,Exhibition,Small,671,11,No,Yes,4,0
TM1227,Reynolds Ltd,Retailer,North,Kitchenware,Dealer,Large,41,52,Yes,Yes,4,0
TM1228,Cooper-Mullins,Hotel Chain,South,Water Storage,Reference,Small,922,38,Yes,No,4,0
TM1229,Baker-Williams,Hotel Chain,East,Both,Exhibition,Large,254,22,Yes,No,1,0
TM1230,Boyd-Davis,Distributor,West,Water Storage,Exhibition,Small,789,63,Yes,Yes,2,0
TM1231,Avila Group,Retailer,South,Both,WhatsApp,Medium,490,59,Yes,Yes,5,0
TM1232,"Rodriguez, Bradley and James",Online Seller,East,Both,Dealer,Large,188,49,No,No,4,1
TM1233,"Wolf, Wiley and Johnson",Retailer,Central,Water Storage,Reference,Small,538,52,No,No,3,1
TM1234,Robinson Ltd,Retailer,Central,Kitchenware,Reference,Small,245,10,No,Yes,1,0
TM1235,Morales-Higgins,Online Seller,Central,Both,Exhibition,Large,245,54,No,Yes,3,1
TM1236,Torres PLC,Hotel Chain,South,Both,Website,Large,863,53,Yes,Yes,0,0
TM1237,"Smith, Taylor and Gonzalez",Distributor,South,Both,Dealer,Small,922,19,Yes,Yes,2,1
TM1238,Jacobs and Sons,Hotel Chain,Central,Both,Exhibition,Large,755,37,Yes,Yes,3,1
TM1239,Smith-Moore,Hotel Chain,West,Kitchenware,Website,Medium,625,19,Yes,No,1,1
TM1240,"Wang, Mccarthy and Young",Online Seller,West,Both,Dealer,Small,245,49,No,Yes,0,0
TM1241,"Thompson, Chapman and Kelly",Hotel Chain,South,Both,Exhibition,Small,497,5,Yes,Yes,3,1
TM1242,Mcdonald-Mcmillan,Retailer,West,Both,Reference,Medium,905,6,No,Yes,3,1
TM1243,Miller-Lyons,Hotel Chain,East,Both,Dealer,Small,445,18,No,No,1,1
TM1244,Garner Group,Retailer,East,Both,Dealer,Medium,273,25,Yes,Yes,4,0
TM1245,"Turner, Rice and Hansen",Retailer,West,Both,Website,Large,833,41,No,No,0,0
TM1246,Jones-Romero,Online Seller,East,Both,Reference,Large,384,36,No,Yes,3,0
TM1247,"Combs, Pierce and Bridges",Hotel Chain,South,Water Storage,Dealer,Large,505,33,No,No,5,0
TM1248,"Chandler, Martin and King",Distributor,North,Both,Website,Medium,811,21,Yes,Yes,4,0
TM1249,Mendoza LLC,Online Seller,Central,Both,Exhibition,Small,408,1,Yes,Yes,3,1
TM1250,English PLC,Hotel Chain,North,Kitchenware,WhatsApp,Small,389,11,Yes,No,3,1
TM1251,"Hutchinson, Cook and George",Online Seller,Central,Kitchenware,Website,Large,516,57,Yes,Yes,5,1
TM1252,Smith Ltd,Online Seller,South,Kitchenware,Dealer,Large,538,30,Yes,Yes,2,0
TM1253,"Dixon, Hamilton and Bryant",Retailer,South,Kitchenware,WhatsApp,Medium,371,51,No,Yes,4,0
TM1254,"Henson, Nichols and Guerrero",Retailer,North,Both,WhatsApp,Large,859,72,No,No,2,0
TM1255,Garcia-Johnson,Distributor,West,Water Storage,Dealer,Small,277,23,No,Yes,4,0
TM1256,Wallace Inc,Online Seller,East,Kitchenware,Dealer,Medium,907,69,No,No,3,0
TM1257,Jimenez and Sons,Distributor,East,Water Storage,Reference,Large,892,4,No,Yes,2,0
TM1258,Perry-Harmon,Distributor,South,Water Storage,Reference,Medium,538,69,Yes,No,1,0
TM1259,Davis Group,Hotel Chain,East,Kitchenware,Dealer,Small,497,41,No,Yes,4,0
TM1260,Vaughn-Clark,Distributor,West,Both,Website,Small,763,31,No,Yes,1,0
TM1261,Stanton and Sons,Distributor,Central,Water Storage,Website,Small,132,11,No,Yes,4,1
TM1262,Fox-Duarte,Hotel Chain,East,Both,WhatsApp,Medium,929,36,No,Yes,4,0
TM1263,Porter-Morgan,Distributor,Central,Kitchenware,Exhibition,Large,828,55,No,Yes,4,0
TM1264,"Jacobs, Farmer and Smith",Distributor,West,Kitchenware,Dealer,Medium,333,2,Yes,Yes,3,0
TM1265,Gallagher-Coleman,Online Seller,East,Both,WhatsApp,Small,571,34,Yes,No,3,1
TM1266,"Coleman, Barry and Parrish",Online Seller,East,Kitchenware,Reference,Medium,225,54,No,No,3,0
